title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
DATA SCIENCE WITH PYTHON: Complete Guide To Understanding Data Analytics And Data Science With Python Programming (Code tutorials),[Craig Berg],9.98,138,,0,0,0,0,0,0,Independently published (June 17 2020),0
Data Analytics: Practical Guide to Leveraging the Power of Algorithms Data Science Data Mining Statistics Big Data and Predictive Analysis to Improve Business Work and Life,[Arthur Zhang],11.97,280,3.7,17,0.5,0.13,0.07,0.18,0.12,CreateSpace Independent Publishing Platform (March 10 2017),0.247333333333333
Introduction to Machine Learning,[Etienne Bernard],29.6,424,4.4,11,0.7,0.17,0.13,0,0,Wolfram Media Inc (December 20 2021),0.304666666666667
Hands-On Data Structures and Algorithms with Kotlin: Level up your programming skills understanding how Kotlins data structure works,"[Chandra Sekhar Nayak,Rivu Chakraborty]",36.99,220,3.6,4,0.65,0.35,0,0,0,Packt Publishing (February 28 2019),0.31
Asking Smarter Questions: How To Be an Agent of Insight (Using Data Better),[Sam Knowles],39.95,280,,0,0,0,0,0,0,Routledge,0
Scalable Data Analytics with Azure Data Explorer: Modern ways to query analyze and perform real-time data analysis on large volumes of data,"[Jason Myerscough,Arunee Singhchawla]",51.99,364,5,8,1,0,0,0,0,Packt Publishing (March 17 2022),0.333333333333333
The Political Philosophy of AI: An Introduction,[Mark Coeckelbergh],19.59,176,3.7,7,0.52,0.14,0.17,0.17,0,Polity,0.267333333333333
Transformers for Machine Learning: A Deep Dive (Chapman & Hall/CRC Machine Learning & Pattern Recognition),"[Uday Kamath,Kenneth Graham et al.]",54.95,257,3.9,8,0.68,0.16,0.16,0,0,Chapman and Hall/CRC,0.301333333333333
Predictive Analytics: Data Mining Machine Learning and Data Science for Practitioners (Pearson Business Analytics Series),[Dursun Delen],47.49,350,4.1,12,0.6,0.11,0.18,0.11,0,Pearson FT Press,0.28
Pre-K-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II): A Framework for Statistics and Data Science Education,"[Anna Bargagliotti,Christine Franklin et al.]",15,122,5,4,1,0,0,0,0,American Statistical Association (December 3 2020),0.333333333333333
Confident Data Skills: How to Work with Data and Futureproof Your Career (Confident Series),,14.64,320,4.7,15,0.66,0.34,0,0,0,Kogan Page,0.310666666666667
Learning Tableau 2022,"[Joshua N. Milligan,Blair Hutchinson et al.]",55.09,566,5,14,1,0,0,0,0,Packt Publishing,0.333333333333333
The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling 3rd Edition,,40.16,600,4.7,531,0.78,0.15,0.05,0.01,0.01,Wiley,0.312
Data Science in Education Using R,"[Ryan A. Estrellado,Jesse Mostipak et al.]",48.95,284,4.6,15,0.73,0.17,0.1,0,0,Routledge,0.308666666666667
Data Mining with Rattle and R: The Art of Excavating Data for Knowledge Discovery (Use R!),,84.99,394,4.3,53,0.68,0.12,0.08,0.07,0.06,Springer,0.288
Statistics for Beginners in Data Science: Theory and Applications of Essential Statistics Concepts using Python (Machine Learning & Data Science for Beginners),,17.99,188,4.3,22,0.69,0.06,0.06,0.19,0,AI Publishing (April 18 2020),0.283333333333333
Detecting Regime Change in Computational Finance: Data Science Machine Learning and Algorithmic Trading,"[Jun Chen,Edward P K Tsang]",54.95,138,,0,0,0,0,0,0,Chapman and Hall/CRC,0
Massive Graph Analytics (Chapman & Hall/CRC Data Science Series),,150,590,,0,0,0,0,0,0,Chapman and Hall/CRC,0
